cod_ine,inmigrantes_vida,emigrantes_internos_vida,saldo_migratorio_vida,inmigrantes_5a,emigrantes_internos_5a,saldo_migratorio,entran_a_trabajar,salen_a_trabajar,poblacion_flotante,trabajan_en_su_municipio
070101,311750,145170,166580,60552,65871,-5319,48495,17671,30824,719126
070102,36089,8308,27781,11738,4487,7251,2506,7899,-5393,31733
070103,11003,2282,8721,4235,882,3353,1893,2890,-997,6705
070104,66190,4366,61824,16033,5279,10754,2644,17095,-14451,40982
070105,18774,6900,11874,3502,2881,621,778,3693,-2915,19920
070201,53817,12061,41756,13858,6855,7003,4640,10338,-5698,44491
070502,16070,3927,12143,3235,3080,155,1607,619,988,20810
070603,2191,1472,719,442,354,88,207,321,-114,1739
071001,29135,47423,-18288,6482,10333,-3851,3862,3836,26,47384
