origen,destino,personas,tipo,nivel
010501,070502,169,nacimiento,municipio
010501,070603,9,nacimiento,municipio
010501,071001,171,nacimiento,municipio
010502,070101,1023,nacimiento,municipio
010502,070102,79,nacimiento,municipio
010502,070103,31,nacimiento,municipio
010502,070104,191,nacimiento,municipio
010502,070105,19,nacimiento,municipio
010502,070201,109,nacimiento,municipio
010502,070502,39,nacimiento,municipio
010502,070603,4,nacimiento,municipio
010502,071001,35,nacimiento,municipio
010599,070101,1247,nacimiento,provincia
010599,070102,59,nacimiento,provincia
010599,070103,20,nacimiento,provincia
010599,070104,199,nacimiento,provincia
010599,070105,33,nacimiento,provincia
010599,070201,134,nacimiento,provincia
010599,070502,23,nacimiento,provincia
010599,070603,1,nacimiento,provincia
010599,071001,44,nacimiento,provincia
010601,070101,1470,nacimiento,municipio
010601,070102,218,nacimiento,municipio
010601,070103,4,nacimiento,municipio
010601,070104,658,nacimiento,municipio
010601,070105,217,nacimiento,municipio
010601,070201,291,nacimiento,municipio
010601,070502,15,nacimiento,municipio
010601,071001,111,nacimiento,municipio
010602,070101,1640,nacimiento,municipio
010602,070102,153,nacimiento,municipio
010602,070103,11,nacimiento,municipio
010602,070104,824,nacimiento,municipio
010602,070105,192,nacimiento,municipio
010602,070201,364,nacimiento,municipio
010602,070502,86,nacimiento,municipio
010602,070603,5,nacimiento,municipio
010602,071001,128,nacimiento,municipio
010699,070101,122,nacimiento,provincia
010699,070102,12,nacimiento,provincia
010699,070104,53,nacimiento,provincia
010699,070105,13,nacimiento,provincia
010699,070201,19,nacimiento,provincia
010699,070502,7,nacimiento,provincia
010699,071001,7,nacimiento,provincia
010701,070101,881,nacimiento,municipio
010701,070102,63,nacimiento,municipio
010701,070103,13,nacimiento,municipio
010701,070104,134,nacimiento,municipio
010701,070105,88,nacimiento,municipio
010701,070201,163,nacimiento,municipio
010701,070502,20,nacimiento,municipio
010701,070603,1,nacimiento,municipio
010701,071001,129,nacimiento,municipio
010702,070101,770,nacimiento,municipio
010702,070102,262,nacimiento,municipio
010702,070103,9,nacimiento,municipio
010702,070104,147,nacimiento,municipio
010702,070105,156,nacimiento,municipio
010702,070201,171,nacimiento,municipio
010702,070502,48,nacimiento,municipio
010702,070603,1,nacimiento,municipio
010702,071001,142,nacimiento,municipio
010703,070101,134,nacimiento,municipio
010703,070102,14,nacimiento,municipio
010703,070103,3,nacimiento,municipio
010703,070104,29,nacimiento,municipio
010703,070105,31,nacimiento,municipio
010703,070201,40,nacimiento,municipio
010703,070502,26,nacimiento,municipio
010703,071001,31,nacimiento,municipio
010704,070101,110,nacimiento,municipio
010704,070102,11,nacimiento,municipio
010704,070103,6,nacimiento,municipio
010704,070104,23,nacimiento,municipio
010704,070105,20,nacimiento,municipio
010704,070201,52,nacimiento,municipio
010704,070502,18,nacimiento,municipio
010704,071001,22,nacimiento,municipio
010799,070101,507,nacimiento,provincia
010799,070102,87,nacimiento,provincia
010799,070103,7,nacimiento,provincia
010799,070104,56,nacimiento,provincia
010799,070105,89,nacimiento,provincia
010799,070201,149,nacimiento,provincia
010799,070502,44,nacimiento,provincia
010799,070603,1,nacimiento,provincia
010799,071001,103,nacimiento,provincia
010801,070101,2224,nacimiento,municipio
010801,070102,107,nacimiento,municipio
010801,070103,27,nacimiento,municipio
010801,070104,764,nacimiento,municipio
010801,070105,892,nacimiento,municipio
010801,070201,178,nacimiento,municipio
010801,070502,49,nacimiento,municipio
010801,071001,94,nacimiento,municipio
010899,070101,2,nacimiento,provincia
010899,070105,2,nacimiento,provincia
010901,070101,92,nacimiento,municipio
010901,070102,13,nacimiento,municipio
010901,070103,1,nacimiento,municipio
010901,070104,16,nacimiento,municipio
010901,070105,1,nacimiento,municipio
010901,070201,12,nacimiento,municipio
010901,070502,2,nacimiento,municipio
010901,071001,8,nacimiento,municipio
010902,070101,219,nacimiento,municipio
010902,070102,27,nacimiento,municipio
010902,070103,4,nacimiento,municipio
010902,070104,29,nacimiento,municipio
010902,070105,41,nacimiento,municipio
010902,070201,75,nacimiento,municipio
010902,070502,77,nacimiento,municipio
010902,070603,1,nacimiento,municipio
010902,071001,40,nacimiento,municipio
010903,070101,47,nacimiento,municipio
010903,070102,2,nacimiento,municipio
010903,070104,9,nacimiento,municipio
010903,070105,1,nacimiento,municipio
010903,070201,10,nacimiento,municipio
010903,070502,1,nacimiento,municipio
010903,071001,4,nacimiento,municipio
010999,070101,170,nacimiento,provincia
010999,070102,8,nacimiento,provincia
010999,070103,5,nacimiento,provincia
010999,070104,16,nacimiento,provincia
010999,070105,14,nacimiento,provincia
010999,070201,34,nacimiento,provincia
010999,070502,40,nacimiento,provincia
010999,070603,1,nacimiento,provincia
010999,071001,32,nacimiento,provincia
011001,070101,1000,nacimiento,municipio
011001,070102,75,nacimiento,municipio
011001,070103,12,nacimiento,municipio
011001,070104,241,nacimiento,municipio
011001,070105,68,nacimiento,municipio
