cod_ine,municipio,ambito,indicador,v2012,v2024,cambio,unidad_cambio,cambio_anual
070101,Santa Cruz de la Sierra,núcleo,viviendas,360441.0,453158.0,25.723211288393944,%,1.9259157678504835
070101,Santa Cruz de la Sierra,núcleo,pct_agua_caneria,94.06282859053216,95.1182589736913,1.055430383159134,pp,
070101,Santa Cruz de la Sierra,núcleo,pct_agua_pileta,4.963364323148587,3.62831506891636,-1.3350492542322274,pp,
070101,Santa Cruz de la Sierra,núcleo,pct_agua_pozo,0.8242680494172416,0.7911147988118934,-0.03315325060534824,pp,
070101,Santa Cruz de la Sierra,núcleo,pct_agua_pozo_bomba,0.6533662929577934,0.7101275934662965,0.05676130050850314,pp,
070101,Santa Cruz de la Sierra,núcleo,pct_agua_carro,0.0726887340785315,0.0681881374708159,-0.0045005966077156095,pp,
070101,Santa Cruz de la Sierra,núcleo,pct_agua_interior,73.18035406626882,84.6713508312774,11.490996765008575,pp,
070101,Santa Cruz de la Sierra,núcleo,pct_agua_lote,26.22287697570476,11.313934654138292,-14.90894232156647,pp,
070101,Santa Cruz de la Sierra,núcleo,pct_agua_sin_caneria,0.5967689580264176,4.014714514584317,3.4179455565578993,pp,
070101,Santa Cruz de la Sierra,núcleo,pct_servicio_sanitario,96.58723619122132,98.81586554799873,2.228629356777404,pp,
070101,Santa Cruz de la Sierra,núcleo,pct_sanitario_exclusivo,46.44144256618975,73.96735796344763,27.525915397257876,pp,
070101,Santa Cruz de la Sierra,núcleo,pct_sanitario_compartido,50.14579362503156,24.848507584551083,-25.297286040480476,pp,
070101,Santa Cruz de la Sierra,núcleo,pct_sin_sanitario,3.4127638087786907,1.1841344520012886,-2.228629356777402,pp,
070101,Santa Cruz de la Sierra,núcleo,pct_alcantarillado,53.40125013525098,70.38097087550038,16.979720740249398,pp,
070101,Santa Cruz de la Sierra,núcleo,pct_camara_septica,20.6044817321004,12.967883166577662,-7.636598565522737,pp,
070101,Santa Cruz de la Sierra,núcleo,pct_pozo_ciego,22.37425820037121,14.871854849743356,-7.502403350627853,pp,
070101,Santa Cruz de la Sierra,núcleo,pct_desague_superficie,0.207246123498714,0.0567131111003226,-0.1505330123983914,pp,
070101,Santa Cruz de la Sierra,núcleo,pct_electricidad,98.86833073928882,99.6447155296828,0.7763847903939762,pp,
070101,Santa Cruz de la Sierra,núcleo,pct_elec_red,98.4027899156866,98.87081327042664,0.46802335474004053,pp,
070101,Santa Cruz de la Sierra,núcleo,pct_panel_solar,0.0227499091390824,0.0476654941543567,0.024915585015274296,pp,
070101,Santa Cruz de la Sierra,núcleo,pct_motor_propio,0.2327704118010992,0.3875028135881966,0.1547324017870974,pp,
070101,Santa Cruz de la Sierra,núcleo,pct_sin_energia,1.1316692607111845,0.3552844703171962,-0.7763847903939882,pp,
070101,Santa Cruz de la Sierra,núcleo,pct_gas_red,6.576943244525457,34.05059603935052,27.473652794825068,pp,
070101,Santa Cruz de la Sierra,núcleo,pct_gas_garrafa,88.27824803504596,62.03818535698365,-26.240062678062316,pp,
070101,Santa Cruz de la Sierra,núcleo,pct_lena_guano,1.2395926101636607,0.5980254127699389,-0.6415671973937218,pp,
070101,Santa Cruz de la Sierra,núcleo,pct_combustible_limpio,95.31906747567562,96.86930386311175,1.5502363874361293,pp,
070101,Santa Cruz de la Sierra,núcleo,pct_no_cocina,3.370593245496489,2.4872119658044216,-0.8833812796920673,pp,
070101,Santa Cruz de la Sierra,núcleo,pct_cocina_exclusiva,71.73296045677378,81.03420881899912,9.301248362225337,pp,
070101,Santa Cruz de la Sierra,núcleo,pct_basura_formal,93.71436656762133,96.97478583628669,3.260419268665359,pp,
070101,Santa Cruz de la Sierra,núcleo,pct_basura_carro,79.03318434917226,75.9701914122668,-3.0629929369054594,pp,
070101,Santa Cruz de la Sierra,núcleo,pct_basura_contenedor,14.681182218449068,21.00459442401988,6.323412205570813,pp,
070101,Santa Cruz de la Sierra,núcleo,pct_basura_quema,4.524734977430425,2.25506335538598,-2.269671622044445,pp,
070101,Santa Cruz de la Sierra,núcleo,pct_basura_entierra,0.7623993940755908,0.2149360708627013,-0.5474633232128895,pp,
070101,Santa Cruz de la Sierra,núcleo,pct_basura_informal,0.7987437611148566,0.3793378909784225,-0.41940587013643404,pp,
070101,Santa Cruz de la Sierra,núcleo,pct_viv_propia,51.054680238929535,55.04658419359252,3.9919039546629875,pp,
070101,Santa Cruz de la Sierra,núcleo,pct_viv_alquilada,30.04486171107061,28.115579996380955,-1.9292817146896546,pp,
070101,Santa Cruz de la Sierra,núcleo,pct_viv_anticretico,5.99154924106858,5.306758349185053,-0.6847908918835275,pp,
070101,Santa Cruz de la Sierra,núcleo,pct_viv_prestada,8.566727980446176,8.71064838312465,0.14392040267847328,pp,
070101,Santa Cruz de la Sierra,núcleo,pct_viv_cedida,2.16318343362714,1.0124504036119852,-1.1507330300151548,pp,
070101,Santa Cruz de la Sierra,núcleo,pct_pared_ladrillo,94.3244525456316,97.08269521888612,2.7582426732545144,pp,
070101,Santa Cruz de la Sierra,núcleo,pct_pared_adobe,1.418540066196687,0.7964109648290442,-0.6221291013676428,pp,
070101,Santa Cruz de la Sierra,núcleo,pct_pared_madera,3.058753027541262,1.15390217098672,-1.904850856554542,pp,
070101,Santa Cruz de la Sierra,núcleo,pct_pared_precaria,0.0971032707155956,0.0229500527409865,-0.07415321797460911,pp,
070101,Santa Cruz de la Sierra,núcleo,pct_techo_calamina,17.545451266642807,18.182399957630672,0.6369486909878646,pp,
