cod_ine,poblacion,n_mujeres,pct_0_14,_den_pct_0_14,pct_15_64,_den_pct_15_64,pct_65_mas,_den_pct_65_mas,pct_menor20,_den_pct_menor20,pct_60_mas,_den_pct_60_mas,edad_mediana,edad_promedio,indice_masculinidad,pob_hombres,pct_0_4,_den_pct_0_4,pct_15_29,_den_pct_15_29,pct_80_mas,_den_pct_80_mas,razon_dependencia,dep_juvenil,dep_senil,indice_envejecimiento,indice_juventud,pct_analfabetismo,_den_pct_analfabetismo,pct_analfabetismo_mujeres,_den_pct_analfabetismo_mujeres,pct_asistencia_4_17,_den_pct_asistencia_4_17,pct_educacion_publica,_den_pct_educacion_publica,tasa_asistencia_4_5,_den_tasa_asistencia_4_5,tasa_asistencia_18_24,_den_tasa_asistencia_18_24,pct_edu_ninguno,_den_pct_edu_ninguno,pct_edu_primaria,_den_pct_edu_primaria,pct_edu_secundaria,_den_pct_edu_secundaria,pct_edu_superior,_den_pct_edu_superior,pct_secundaria_mas,_den_pct_secundaria_mas,pct_primaria_completa,_den_pct_primaria_completa,brecha_alfabetismo,brecha_alfabetismo_muj,brecha_alfabetismo_hom,_den_brecha_alfabetismo_muj,_den_brecha_alfabetismo_hom,brecha_edu_superior,brecha_edu_superior_muj,brecha_edu_superior_hom,_den_brecha_edu_superior_muj,_den_brecha_edu_superior_hom,brecha_anios_estudio,brecha_anios_estudio_muj,brecha_anios_estudio_hom,_den_brecha_anios_estudio_muj,_den_brecha_anios_estudio_hom,pct_catocu_asalariado,_den_pct_catocu_asalariado,pct_catocu_cuenta_propia,_den_pct_catocu_cuenta_propia,pct_catocu_empleador,_den_pct_catocu_empleador,pct_catocu_familiar,_den_pct_catocu_familiar,pct_catocu_hogar,_den_pct_catocu_hogar,pct_catocu_cooperativista,_den_pct_catocu_cooperativista,pct_catocu_asalariado_amplio,_den_pct_catocu_asalariado_amplio,tasa_participacion,tasa_ocupacion,_den_tasa_participacion,_den_tasa_ocupacion,_den_tasa_desocupacion,tasa_desocupacion,tasa_participacion_fem,tasa_ocupacion_fem,_den_tasa_participacion_fem,_den_tasa_ocupacion_fem,pct_sector_primario,_den_pct_sector_primario,pct_sector_secundario,_den_pct_sector_secundario,pct_sector_servicios,_den_pct_sector_servicios,brecha_participacion,brecha_participacion_hom,brecha_participacion_muj,_den_brecha_participacion_hom,_den_brecha_participacion_muj,pct_ocu_profesionales,_den_pct_ocu_profesionales,pct_ocu_no_calificado,_den_pct_ocu_no_calificado,pct_rama_agricultura,_den_pct_rama_agricultura,pct_rama_manufactura,_den_pct_rama_manufactura,pct_rama_construccion,_den_pct_rama_construccion,pct_rama_comercio,_den_pct_rama_comercio,pct_rama_transporte,_den_pct_rama_transporte,pct_rama_alojamiento,_den_pct_rama_alojamiento,pct_rama_mineria,_den_pct_rama_mineria,pct_rama_adm_publica,_den_pct_rama_adm_publica,pct_rama_ensenanza,_den_pct_rama_ensenanza,pct_rama_salud,_den_pct_rama_salud,pct_salud_publica,_den_pct_salud_publica,pct_salud_caja,_den_pct_salud_caja,pct_salud_privada,_den_pct_salud_privada,pct_salud_tradic,_den_pct_salud_tradic,pct_salud_autome,_den_pct_salud_autome,pct_salud_casera,_den_pct_salud_casera,pct_registro_civil,_den_pct_registro_civil,pct_cedula,_den_pct_cedula,pct_autoident_indigena,_den_pct_autoident_indigena,pct_nacido_otro_municipio,_den_pct_nacido_otro_municipio,pct_nacido_extranjero,_den_pct_nacido_extranjero,pct_migrante_reciente,_den_pct_migrante_reciente,paridez_media,_den_paridez_media,paridez_media_12mas,pct_hijos_fallecidos,_den_pct_hijos_fallecidos,pct_parto_calificado,_den_pct_parto_calificado,pct_jefatura_femenina,_den_pct_jefatura_femenina,edad_media_jefe,prom_anios_estudio,_den_prom_anios_estudio,pct_ecivil_casado,_den_pct_ecivil_casado,pct_ecivil_conviviente,_den_pct_ecivil_conviviente,pct_ecivil_separado_divorciado,_den_pct_ecivil_separado_divorciado,pct_ecivil_viudo,_den_pct_ecivil_viudo,pct_ecivil_soltero,_den_pct_ecivil_soltero,pct_pueblo_quechua,_den_pct_pueblo_quechua,pct_pueblo_aymara,_den_pct_pueblo_aymara,pct_pueblo_guarani,_den_pct_pueblo_guarani,pct_pueblo_chiquitano,_den_pct_pueblo_chiquitano,pct_pueblo_afroboliviano,_den_pct_pueblo_afroboliviano,pct_pueblo_guarayo,_den_pct_pueblo_guarayo,pct_pueblo_mojeno,_den_pct_pueblo_mojeno,pct_pueblo_trinitario,_den_pct_pueblo_trinitario,pct_pueblo_yuracare,_den_pct_pueblo_yuracare,pct_pueblo_movima,_den_pct_pueblo_movima,pct_disc_ver,_den_pct_disc_ver,pct_disc_oir,_den_pct_disc_oir,pct_disc_caminar,_den_pct_disc_caminar,pct_disc_comunicar,_den_pct_disc_comunicar,pct_discapacidad,_den_pct_discapacidad,pct_afiliado_sus,_den_pct_afiliado_sus,pct_afiliado_caja,_den_pct_afiliado_caja,pct_afiliado_privado,_den_pct_afiliado_privado,pct_afiliado_ninguno,_den_pct_afiliado_ninguno,pct_seguro_salud,_den_pct_seguro_salud,pct_madres_adolescentes,_den_pct_madres_adolescentes,edad_1er_hijo,pct_idioma_castellano,_den_pct_idioma_castellano,pct_idioma_materno_originario,_den_pct_idioma_materno_originario,pct_bilingue,_den_pct_bilingue,pct_registro_menores5,_den_pct_registro_menores5,pct_residia_otro_mun,_den_pct_residia_otro_mun,pct_rezago_escolar,_den_pct_rezago_escolar,pct_hogar_con_menores,_den_pct_hogar_con_menores,pct_hogar_con_am,_den_pct_hogar_con_am,pct_hogar_unipersonal,_den_pct_hogar_unipersonal,pct_am_solo,_den_pct_am_solo,hogares,tam_hogar_pers,autocontencion_laboral,pct_trabaja_fuera,dependencia_capital,_den_autocontencion_laboral,_den_pct_trabaja_fuera,_den_dependencia_capital
070101,1444425,727908,29.542620766048774,1444425,66.44713294217422,1444425,4.010246291777005,1444425,40.87508870311716,1444425,6.272876750263946,1444425,23.0,26.606781245132147,98.43510443627491,716517,10.520172386935977,1444425,32.36111255343822,1444425,0.8032954289769285,1444425,50.495582837299004,44.460339307278026,6.035243530020973,13.574443254491811,736.6784635304273,1.4401383648675978,1003723,2.1461164024471233,511948,88.03378671498201,391870,59.857150311034324,344978,57.35763272011768,52347,23.527241368954407,233083,2.3635362951662775,875764,18.274443799927834,875764,47.72815507374133,875764,31.111463819019736,875764,78.83961889276107,875764,83.08711022604263,875764,1.440915853415554,2.1461164024471233,0.7052005490315694,511948,491775,-1.7180051395511882,30.269791097699656,31.987796237250844,446716,429048,-0.5439481486841338,10.750382645347079,11.294330794031213,429902,420588,49.73445005033493,677462,33.5850571692582,677462,3.430745931137097,677462,1.9409206715653424,677462,2.6141687651853536,677462,0.42186868045735404,677462,52.34861881552028,677462,67.19756055000015,66.25289477653656,1014327,1014327,681603,1.4058036716387692,55.684123873899985,54.85976649004626,517494,517494,3.327123882963177,677462,21.926100652139898,677462,62.847953095524176,677462,23.505664244039046,79.18978811793903,55.684123873899985,496833,517494,21.099781242342743,677462,9.337350286805755,677462,2.3449285716394423,677462,11.55562968845485,677462,10.002627453643157,677462,23.228166303054635,677462,7.461377907543154,677462,6.150455671314406,677462,0.9821953113237347,677462,2.0941395974977195,677462,3.853205050615385,677462,3.379230126560604,677462,57.84287865413573,1444425,22.563580663585856,1444425,22.373747338906487,1444425,9.871748273534452,1444425,46.0706509510705,1444425,33.0653374180037,1444425,97.84822331607404,1440577,78.64286324160389,1440577,18.858514068934376,1014327,25.61813773231143,1440577,2.1680895918788097,1440577,6.6795720282107585,1288870,1.9753410067200978,339876,2.5578569719051125,12.697445784198436,1085108.0,,,33.94699648617093,358014,41.746440083348695,10.658710107680424,871189,28.708790257901757,1011199,20.566970497399623,1011199,3.9163408982801604,1011199,2.9573802980422252,1011199,43.85051804837624,1011199,5.119355000902076,1014327,2.3770440893321383,1014327,1.135235481259988,1014327,1.6708615663390602,1014327,0.3129168404271995,1014327,0.28176317893539266,1014327,0.30355102447238413,1014327,0.019125982055096632,1014327,0.008084177982051154,1014327,0.09701013578461384,1014327,,,,,,,,,,,,0,,0,,0,,0,,0,12.816130420232346,83668,,88.03811541941967,1319466,8.271528027247387,1319466,19.712073366592442,1288870,83.47999762700469,151707,0.8433426328478103,1440577,8.528011282710084,286456,60.20727079848219,367635,13.04745195642417,367635,12.908727406258926,367635,1.402478001278442,367635,367635,3.918497966733309,,,,0,0,0
070102,55633,26985,37.01939496342099,55633,59.515036039760574,55633,3.465568996818435,55633,48.39753383783007,55633,5.19116351805583,55633,20.0,24.039203350529363,106.1626829720215,28648,12.981503783725486,55633,29.67842827099024,55633,0.6219330253626445,55633,68.02476593174268,62.20175173663546,5.823014195107218,9.361495508618598,1068.2053941908714,3.5054285054285055,34632,5.042317320300393,16778,84.05352050888352,18236,85.24921711899792,15328,43.639921722113506,2555,22.85,8000,5.789598348729402,29553,32.419720502148685,29553,48.878286468378846,29553,12.523263289682943,29553,61.40154975806179,29553,67.59381450275775,29553,2.981154555653815,5.042317320300393,2.061162764646578,16778,17854,0.7796433614945055,12.925312652833089,12.145669291338583,14313,15240,-0.25711231233479914,8.592397928092627,8.849510240427426,13128,14599,46.15851806863043,23051,35.942041560019085,23051,2.4684395470912324,23051,1.7656500802568218,23051,2.1734414992841957,23051,0.55962864951629,23051,48.33195956791462,23051,65.72016813931543,65.10251351119499,34971,34971,22983,0.939825088108602,47.333962486728794,46.79721599622508,16954,16954,13.817187974491345,23051,29.62127456509479,23051,45.00889332350007,23051,35.68762823314688,83.02159071987568,47.333962486728794,18017,16954,9.591774760314086,23051,10.264196781050714,23051,13.539542753025898,23051,18.4156869550128,23051,10.936618801787342,23051,16.276951108411783,23051,8.203548652986855,23051,4.958570127109453,23051,0.2776452214654462,23051,1.171315778057351,23051,2.685349876361112,23051,1.6138128497679058,23051,72.28803048550321,55633,18.37218916829939,55633,17.940790537990043,55633,12.120504017399744,55633,48.5377383926806,55633,38.27943846278288,55633,96.06992402693263,55546,71.12483347135708,55546,27.474192902690802,34971,24.790263925395166,55546,0.8767508011377957,55546,8.468684695123212,48331,2.682739819390015,11738,3.2824282498593136,14.40721984157901,46206.0,,,30.38485904339563,12628,40.86894203357618,8.197737618044703,29438,25.327172540466076,34844,28.954769831247848,34844,2.3217770634829527,34844,2.801056135920101,34844,40.59522442888302,34844,13.039375482542678,34971,1.1981355980669697,34971,1.2667638900803524,34971,3.1225872866089044,34971,0.5833404821137514,34971,0.18872780303680192,34971,0.6376712132910125,34971,0.048611706842812616,34971,0.014297560836121357,34971,0.15441365703011067,34971,,,,,,,,,,,,0,,0,,0,,0,,0,18.83916990920882,3084,,81.5218701048319,49794,14.545929228421095,49794,19.1967888104943,48331,78.72487872487872,7215,0.9577647355345119,55546,11.189985497290284,13101,69.28261543229006,12908,12.542609234583205,12908,11.767895878524946,12908,1.8438177874186552,12908,12908,4.303222807561203,,,,0,0,0
070103,15317,7160,35.117842919631784,15317,59.46987007899719,15317,5.412287001371026,15317,46.20356466671019,15317,8.657047724750278,15317,22.0,26.707449239407193,113.92458100558659,8157,11.340340797806359,15317,26.17353267611151,15317,0.9923614284781616,15317,68.15237677022725,59.05148753979581,9.100889230431441,15.41178657743075,648.854041013269,4.2265080016413625,9748,5.034375693058328,4509,87.30288756911735,4883,70.13840018766128,4263,63.95705521472393,652,23.394004282655246,1868,6.39618138424821,8380,32.004773269689736,8380,39.00954653937948,8380,21.706443914081145,8380,60.71599045346062,8380,65.52505966587113,8380,1.5031674472098837,5.034375693058328,3.531208245848444,4509,5239,3.111897012882217,23.386051335234637,20.27415432235242,3857,4523,0.46794692565274154,9.68167657887284,9.2137296532201,3531,4239,37.40185581727338,7005,33.4332619557459,7005,3.6973590292648106,7005,2.5124910778015703,7005,3.140613847251963,7005,0.371163454675232,7005,40.54246966452534,7005,70.05045408678103,69.63673057517659,9910,9910,6942,0.5906078939786805,52.85527462946818,52.37576285963383,4588,4588,37.558886509635975,7005,14.760885082084226,7005,36.059957173447536,7005,32.0188328489234,84.87410747839158,52.85527462946818,5322,4588,15.08922198429693,7005,11.448965024982156,7005,36.102783725910065,7005,5.010706638115631,7005,9.507494646680943,7005,9.507494646680943,7005,3.3690221270521055,7005,3.3832976445396143,7005,1.45610278372591,7005,1.284796573875803,7005,2.6409707351891507,7005,2.0842255531763025,7005,60.37082979695763,15317,14.010576483645622,15317,19.135600966246653,15317,12.9006985702161,15317,39.30926421623033,15317,39.04811647189398,15317,95.6169043569279,15286,78.02564438047887,15286,14.803229061553985,9910,24.892058092372107,15286,3.0550830825592046,15286,8.502472507196103,13549,2.4327323162274617,2884,3.323613642280656,13.625592417061617,12660.0,,,22.993311036789297,3588,45.92920847268673,8.636407416325548,8306,25.523226135783563,9795,25.9315977539561,9795,3.6140888208269524,9795,3.33843797856049,9795,41.59264931087289,9795,6.680121089808274,9910,0.6760847628657921,9910,1.7255297679112007,9910,1.7053481331987892,9910,0.22199798183652875,9910,0.4944500504540868,9910,0.4036326942482341,9910,0.010090817356205853,9910,0.030272452068617558,9910,0.050454086781029264,9910,,,,,,,,,,,,0,,0,,0,,0,,0,15.260545905707197,806,,87.11629917855599,13878,7.594754287361291,13878,19.07889881172042,13549,85.43465745538285,1737,1.5308125081774173,15286,10.592613799026624,3493,63.3415773564166,3639,18.713932399010716,3639,15.636163781258588,3639,2.9678483099752677,3639,3639,4.2006045616927725,,,,0,0,0
070104,89284,44360,33.663366336633665,89284,63.016889924286545,89284,3.31974373907979,89284,45.50535370279109,89284,5.11737825366247,89284,22.0,24.87892567537297,101.27141568981064,44924,11.584382420142466,89284,31.046996102325163,89284,0.6843331391962726,89284,58.68761552680222,53.41959334565619,5.2680221811460255,9.86159169550173,1014.0350877192982,2.894822589219873,58311,4.121906853828466,29137,86.89056631294899,27423,78.50428067819372,23828,52.02104097452935,3612,24.541629095281035,13308,4.4540575182247855,49932,31.120323640150605,49932,46.339021068653366,49932,17.599935912841463,49932,63.93895698149483,49932,69.5425779059521,49932,2.45261227646506,4.121906853828466,1.6692945773634058,29137,29174,-0.35670911415794393,17.421602787456447,17.77831190161439,24969,24963,-0.33114286933261283,9.013739085772984,9.344881955105597,23364,24101,45.66302101708583,39682,36.29353359205685,39682,2.547754649463233,39682,2.2554306738571643,39682,2.552794718008165,39682,0.5266871629454161,39682,48.215815735094,39682,67.09785420788312,66.40119041580006,59139,59139,39681,1.0382802852750688,52.22699448746999,51.63177652270959,29569,29569,12.950456126203317,39682,21.322009979335718,39682,55.087949196109065,39682,29.74121653721719,81.96821102468718,52.22699448746999,29570,29569,11.75091981250945,39682,11.443475631268585,39682,11.130991381482788,39682,8.973842044251802,39682,12.045763822387984,39682,20.03931253465047,39682,9.775212942896024,39682,5.657476941686407,39682,1.819464744720528,39682,1.3280580615896376,39682,2.9282798246056148,39682,2.2151101254977066,39682,71.8706599166704,89284,16.43519555575467,89284,19.276690112450158,89284,12.092872183145916,89284,54.921374490390214,89284,43.0021056404283,89284,97.60914178058381,89173,76.10038913123928,89173,24.198921185681193,59139,27.861572449059693,89173,1.4791472755206172,89173,8.430892555903654,78841,2.255791552280499,20763,2.867121364092277,13.732772254857661,70816.0,,,30.289006422364942,21176,40.45584624102758,8.736460786089477,49689,27.941326443892986,58834,25.910187986538396,58834,2.4900567698949585,58834,2.7348132032498214,58834,40.923615596423836,58834,8.980537378041562,59139,1.785623700096383,59139,1.5658026006526995,59139,0.7981196841339894,59139,0.3669321429175333,59139,0.1420382488713032,59139,0.19276619489676863,59139,0.011836520739275267,59139,0.01860024687600399,59139,0.03720049375200798,59139,,,,,,,,,,,,0,,0,,0,,0,,0,14.776176024279211,5272,,81.00497918133857,80937,13.510508173023462,80937,21.492624395936126,78841,84.42702284165699,10332,1.1472082356767184,89173,9.08365739355868,20058,67.58975786251044,21558,11.494572780406346,21558,10.789498098153818,21558,1.3312923276741813,21558,21558,4.136422673717414,,,,0,0,0
070105,49652,24366,33.521308305808425,49652,61.64102150970756,49652,4.837670184484009,49652,45.93571255941352,49652,7.196084749859018,49652,21.0,25.95428180133731,103.77575309857998,25286,11.274470313381133,49652,30.15387094175461,49652,1.059373237734633,49652,62.22962817748154,54.38149382474025,7.848134352741292,14.431627012737323,692.9225645295587,6.52595902018179,32455,9.334088620342397,15888,85.84881320949432,15504,86.34861006761834,13310,50.24850894632207,2012,25.892613791223766,7338,9.804420532208812,27508,38.73055111240367,27508,36.62207357859532,27508,14.439435800494401,27508,51.06150937908972,27508,56.572633415733605,27508,5.501167753559033,9.334088620342397,3.8329208667833643,15888,16567,2.142134473452371,15.536512667660208,13.394378194207837,13420,14088,0.10930175180504342,8.260233665080053,8.15093191327501,11555,13145,34.37609227542817,22888,44.04928346731912,22888,2.385529535127578,22888,3.045263893743446,22888,2.3986368402656413,22888,0.33205173016427825,22888,36.774729115693816,22888,68.80614226754066,68.25989317795582,32952,32952,22673,0.7938958232258634,52.8018844532606,52.411356310438876,16132,16132,29.220552254456482,22888,15.84673191191891,22888,44.5255155540021,22888,31.35388249085355,84.15576694411415,52.8018844532606,16820,16132,9.44162880111849,22888,8.074099965047186,22888,28.04089479203076,22888,7.3182453687521845,22888,8.384306186648026,22888,16.454037049982524,22888,8.812478154491437,22888,4.290457881859489,22888,1.1796574624257252,22888,0.8956658511010136,22888,3.5739252009786786,22888,2.241349178608878,22888,76.56287762829292,49652,11.089180697655683,49652,25.106742930798358,49652,13.890679126721984,49652,45.88737613791992,49652,41.70023362603722,49652,97.5092771861891,49584,79.01540819619233,49584,23.643481427530954,32952,36.5984995159729,49584,0.8329299774120684,49584,8.747442600591043,43990,2.4113680154142583,10380,3.367384982477071,17.84734152926214,44819.0,,,30.73952341824158,12170,43.004272801972064,7.374566558382305,27397,26.21335529727586,32781,26.42689362740612,32781,2.217748085781398,32781,3.8772459656508342,32781,41.264757023885785,32781,16.72736100995387,32952,0.743505705268269,32952,0.5401796552561301,32952,0.5128672007768876,32952,0.33685360524399127,32952,0.11835396941005098,32952,0.10924981791697014,32952,0.006069434328720563,32952,0.0030347171643602816,32952,0.009104151493080845,32952,,,,,,,,,,,,0,,0,,0,,0,,0,16.75886755613407,3073,,77.22991199752354,45226,19.159333126962366,45226,25.096612866560584,43990,86.64640686449768,5594,1.5085511455308165,49584,10.089567966280296,11388,65.3318262554497,12386,15.759728725980946,12386,12.869368642015178,12386,2.8176974002906507,12386,12386,4.003229452607783,,,,0,0,0
070201,96406,47407,35.882621413604966,96406,60.74310727548078,96406,3.3742713109142586,96406,46.99085119183453,96406,5.205070223844989,96406,21.0,24.541501566292553,103.35815385913473,48999,12.535526834429392,96406,29.31664004315084,96406,0.5995477459909134,96406,64.62773224043715,59.072745901639344,5.554986338797814,9.403636573873326,1063.4183830310483,3.0591030591030592,60606,4.477012648062638,29886,84.58145461674181,30606,77.20477459728822,25887,46.17213504517356,4206,22.629488044374483,13341,4.959296521004531,52084,31.72759388679825,52084,48.69441671146609,52084,13.891022194915905,52084,62.585438906381995,52084,69.03655633207894,52084,2.7973251480626384,4.477012648062638,1.6796875,29886,30720,-0.35394295722208646,13.711094622564143,14.06503757978623,25607,26477,-0.38130093765461837,8.693061362388615,9.074362300043234,23679,25443,48.839292378890796,40191,30.99450125650021,40191,2.5329053768256573,40191,1.6048369037844294,40191,2.266676619143589,40191,0.6742803115125277,40191,51.105968998034385,40191,65.03321989953005,64.44984605412412,61710,61710,40132,0.8970397687630818,47.26137670445211,46.74880893707902,30435,30435,12.530168445671917,40191,25.112587395187976,40191,49.49615585578861,40191,35.06636110530008,82.3277378097522,47.26137670445211,31275,30435,10.415267099599413,40191,11.880769326466124,40191,12.097235699534721,40191,12.059913911074618,40191,12.816302157199374,40191,17.772635664701053,40191,9.094075788111766,40191,5.222562265183748,40191,0.4329327461371949,40191,1.5177527307108556,40191,2.47816675375084,40191,1.7765171307009031,40191,67.57152044478559,96406,19.14196211854034,96406,13.316598551957346,96406,7.869842126008755,96406,37.57546210816754,96406,28.412132024977698,96406,96.4476759283303,96275,74.25188262788886,96275,30.26575919624048,61710,30.958192677226695,96275,0.9722150090885484,96275,12.508312749382481,84208,2.631322483188773,20522,3.2654959090001996,14.67875160747848,80872.0,,,30.386500672363685,23053,40.60031232377565,8.419804661057924,51705,24.40811265031736,61287,30.933150586584432,61287,3.207858110202816,61287,2.8994729714295038,61287,38.55140568146589,61287,8.911035488575596,61710,2.6981040350024306,61710,3.1793874574623238,61710,1.5653864851725814,61710,0.4472532814778804,61710,0.22038567493112948,61710,0.41646410630367847,61710,0.053475935828877004,61710,0.00810241451952682,61710,0.13612056392805055,61710,,,,,,,,,,,,0,,0,,0,,0,,0,20.694779862530186,5383,,84.06241710588534,86707,13.486800373672253,86707,18.970881626448794,84208,81.14692964282754,12067,1.537263048558816,96275,10.294652600945799,21992,67.50319013185879,23510,11.799234368353892,23510,12.90940025521055,23510,1.8417694598043386,23510,23510,4.095065929391748,,,,0,0,0
070502,37866,18068,40.891564992341415,37866,56.43849363545133,37866,2.669941372207257,37866,52.99741192626631,37866,4.230708287117731,37866,18.0,22.401996514023136,109.57493911888422,19798,15.708023028574447,37866,29.208260708815295,37866,0.5281783129984683,37866,77.1840344391933,72.45332459875532,4.730709840437977,6.529320588995092,1531.5529179030664,2.1853225952402497,22102,3.101449275362319,10350,74.93659211436477,13011,48.97435897435897,9750,42.80841387151791,1759,23.807706982067913,5242,5.334710968513785,18389,39.66501712980586,18389,47.909076078090166,18389,6.835608244058948,18389,54.74468432214911,18389,66.47996084615804,18389,1.72296050749302,3.101449275362319,1.3784887678692987,10350,11752,-0.4458725976422988,6.597384399813172,7.043256997455471,8564,9825,-0.352580725211582,7.374827629434624,7.727408354646206,7977,9384,28.053097345132745,15820,38.50189633375474,15820,2.256637168141593,15820,11.504424778761061,15820,0.7332490518331226,15820,0.3223767383059418,15820,28.786346396965865,15820,69.48371510379384,69.13922691481747,22352,22352,15531,0.4957826282918035,48.726023475522474,48.487451092661516,10479,10479,52.16814159292036,15820,10.2275600505689,15820,23.520859671302148,15820,39.07823829488097,87.80426177040344,48.726023475522474,11873,10479,5.347661188369153,15820,6.18204804045512,15820,52.08596713021492,15820,5.701643489254109,15820,4.361567635903919,15820,9.671302149178256,15820,3.527180783817952,15820,2.8381795195954487,15820,0.08217446270543616,15820,0.48672566371681414,15820,2.427307206068268,15820,0.8217446270543616,15820,52.81254951671684,37866,7.043257803834575,37866,40.84138805260656,37866,29.802461310938572,37866,55.32139650345957,37866,56.23250409338193,37866,94.96880287648054,37824,72.85850253807106,37824,47.39173228346457,22352,36.33936125211506,37824,8.925549915397632,37824,11.864885208882198,31884,3.263719741392272,6651,3.958594730238394,11.422787738577211,31122.0,,,20.101066816395285,7124,39.86608646827625,7.15140115581725,18342,41.14421823738259,22251,19.082288436474766,22251,1.3797132713136488,22251,2.076311177025752,22251,36.31746887780324,22251,5.073371510379385,22352,0.5681818181818182,22352,0.8992483894058697,22352,14.44613457408733,22352,0.15658554044380815,22352,0.22369362920544023,22352,0.4876521116678597,22352,0.044738725841088046,22352,0.004473872584108805,22352,0.22369362920544023,22352,,,,,,,,,,,,0,,0,,0,,0,,0,11.858246251703772,2201,,46.16384522370012,33080,6.792623941958888,33080,30.118554761008657,31884,79.88215488215488,5940,1.7317047377326564,37824,14.766756032171582,9325,72.92059219380889,7430,10.63257065948856,7430,6.554508748317631,7430,1.1440107671601616,7430,7430,5.0907133243607,,,,0,0,0
070603,6069,2902,36.200362497940354,6069,59.20250453122426,6069,4.597132970835393,6069,47.71791069368924,6069,7.563025210084033,6069,21.0,25.34733893557423,109.131633356306,3167,13.379469434832757,6069,28.225407810182897,6069,0.7909045971329708,6069,68.91177289173393,61.14667408850543,7.7650988032285,12.699135184342285,787.4551971326165,2.412165705296277,3814,3.1666666666666665,1800,87.14211348256117,1921,78.31541218637993,1674,63.095238095238095,252,22.208436724565757,806,3.381942289792119,3223,31.678560347502327,3223,53.180266832143964,3223,11.262798634812286,3223,64.44306546695626,3223,70.80359913124418,3223,1.4288315127441242,3.1666666666666665,1.7378351539225423,1800,2014,0.8660505849371809,11.725516322451698,10.859465737514517,1501,1722,-0.17290000167697883,8.691608391608392,8.864508393285371,1430,1668,56.622936944562,2363,19.974608548455354,2363,2.5391451544646637,2363,1.311891663140076,2363,1.4811680067710538,2363,0.5078290308929327,2363,58.10410495133305,2363,61.059431524547804,60.361757105943155,3870,3870,2363,1.1426153195090987,37.40416210295729,36.91128148959474,1826,1826,22.048243757934827,2363,27.211172238679644,2363,35.04020313161236,2363,44.787618718960516,82.1917808219178,37.40416210295729,2044,1826,9.818027930596699,2363,13.457469318662717,2363,21.455776555226407,2363,22.048243757934827,2363,4.612780363944139,2363,11.17223867964452,2363,5.0359712230215825,2363,4.485823106220906,2363,0.5924672027084215,2363,1.184934405416843,2363,3.1739314430808294,2363,1.4388489208633093,2363,62.135442412259025,6069,33.432196407974956,6069,14.104465315537979,6069,10.347668479156368,6069,41.01169879716593,6069,36.74410940846927,6069,96.76940827427065,6067,77.33641008735783,6067,35.736434108527135,3870,38.19020932915774,6067,0.5933739904400858,6067,9.457659372026642,5255,2.7082228116710874,1131,3.5625841184387617,14.532539834901137,5209.0,,,22.304832713754646,1345,44.77695167286245,8.454942313688806,3207,22.568902756110244,3846,29.7191887675507,3846,2.4700988039521583,3846,3.5361414456578264,3846,41.70566822672907,3846,1.524547803617571,3870,0.31007751937984496,3870,5.167958656330749,3870,1.317829457364341,3870,0.2842377260981912,3870,0.15503875968992248,3870,0.4909560723514212,3870,0.23255813953488372,3870,0.0,3870,0.05167958656330749,3870,,,,,,,,,,,,0,,0,,0,,0,,0,21.568627450980394,357,,89.63538774754765,5403,5.774569683509162,5403,9.153187440532825,5255,90.27093596059113,812,1.813087193011373,6067,11.508220157255183,1399,71.14825581395348,1376,17.51453488372093,1376,8.938953488372093,1376,2.1075581395348837,1376,1376,4.409156976744186,,,,0,0,0
