cod_ine,emigrantes,edad_prom_emigracion,pct_emi_argentina,_den_pct_emi_argentina,pct_emi_brasil,_den_pct_emi_brasil,pct_emi_chile,_den_pct_emi_chile,pct_emi_espana,_den_pct_emi_espana,pct_emi_eeuu,_den_pct_emi_eeuu,_den_edad_prom_emigracion,fallecidos,edad_prom_fallecimiento,_den_edad_prom_fallecimiento,emigrantes_x1000,tasa_mortalidad
070101,64414,27.671695206303863,15.920452075635732,64414,5.739435526438352,64414,5.610581550594591,64414,51.72943769987891,64414,6.439593877107461,64414,64414,15933.0,55.286232840549104,15933.0,44.59490800837703,
070102,1638,26.07362355953905,29.426129426129425,1638,6.837606837606837,1638,4.151404151404152,1638,46.7032967032967,1638,1.7704517704517704,1638,1638,680.0,48.98724082934609,680.0,29.44295651861305,
070103,475,25.99147121535181,20.210526315789473,475,9.052631578947368,475,3.3684210526315788,475,39.78947368421053,475,9.263157894736842,475,475,165.0,58.01273885350319,165.0,31.011294639942548,
070104,3136,27.30234091658424,23.022959183673468,3136,4.6875,3136,7.940051020408164,3136,52.67857142857143,3136,1.753826530612245,3136,3136,831.0,51.98209718670077,831.0,35.12387437838807,
070105,2304,25.40907069808804,36.63194444444444,2304,3.4288194444444446,2304,11.197916666666666,2304,40.71180555555556,2304,0.78125,2304,2304,584.0,54.13392857142857,584.0,46.40296463385161,
070201,2919,26.93006744763933,29.73621103117506,2919,5.584104145255225,2919,6.029462144570058,2919,44.638574854402194,2919,2.672147995889003,2919,2919,1202.0,51.05946935041171,1202.0,30.278198452378483,
070502,469,25.06013363028953,19.616204690831555,469,6.609808102345416,469,5.330490405117271,469,45.62899786780384,469,1.0660980810234542,469,469,240.0,44.30541871921182,240.0,12.385781439814082,
070603,210,27.020100502512562,16.19047619047619,210,4.761904761904762,210,3.8095238095238093,210,57.142857142857146,210,5.238095238095238,210,210,95.0,52.21176470588235,95.0,34.602076124567475,
071001,4875,26.856197994452742,29.98974358974359,4875,3.241025641025641,4875,4.861538461538461,4875,51.17948717948718,4875,3.5487179487179485,4875,4875,1343.0,52.949486977111285,1343.0,44.51323070180244,
